        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202604271800,   1.741,   2.299,   0.700,  -0.142,   2.299,   0.600,   2.199,   0.700,   2.299
202604271806,   1.861,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604271812,   1.981,   2.587,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604271818,   2.100,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604271824,   2.218,   2.860,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604271830,   2.335,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604271836,   2.452,   3.178,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604271842,   2.567,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604271848,   2.681,   3.499,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604271854,   2.794,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604271900,   2.907,   3.808,   0.700,   0.201,   3.808,   0.600,   3.708,   0.700,   3.808
202604271906,   3.019,   3.958,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604271912,   3.130,   4.099,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604271918,   3.241,   4.257,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604271924,   3.351,   4.388,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604271930,   3.461,   4.519,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604271936,   3.570,   4.647,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604271942,   3.679,   4.759,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604271948,   3.788,   4.857,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604271954,   3.896,   4.979,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272000,   4.003,   5.067,   0.700,   0.364,   5.067,   0.700,   5.067,   0.700,   5.067
202604272006,   4.108,   5.169,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272012,   4.213,   5.238,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272018,   4.315,   5.339,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272024,   4.415,   5.418,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272030,   4.513,   5.516,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272036,   4.608,   5.628,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272042,   4.699,   5.697,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272048,   4.786,   5.779,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272054,   4.869,   5.848,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272100,   4.947,   5.907,   0.700,   0.260,   5.907,   0.700,   5.907,   0.800,   6.007
202604272106,   5.020,   5.969,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272112,   5.087,   6.028,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272118,   5.148,   6.077,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272124,   5.203,   6.117,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272130,   5.251,   6.159,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272136,   5.292,   6.199,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272142,   5.326,   6.238,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272148,   5.353,   6.258,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272154,   5.373,   6.287,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272200,   5.386,   6.307,   0.700,   0.221,   6.307,   0.700,   6.307,   0.800,   6.407
202604272206,   5.392,   6.307,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272212,   5.391,   6.297,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272218,   5.383,   6.287,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272224,   5.368,   6.258,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272230,   5.348,   6.218,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272236,   5.321,   6.179,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272242,   5.288,   6.136,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272248,   5.250,   6.087,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272254,   5.207,   6.048,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272300,   5.159,   5.979,   0.800,   0.020,   5.979,   0.700,   5.879,   0.800,   5.979
202604272306,   5.106,   5.897,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272312,   5.049,   5.818,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272318,   4.988,   5.730,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272324,   4.923,   5.638,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272330,   4.855,   5.530,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272336,   4.784,   5.438,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272342,   4.709,   5.329,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272348,   4.632,   5.218,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604272354,   4.552,   5.077,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280000,   4.469,   4.959,   0.600,  -0.110,   4.959,   0.600,   4.959,   0.700,   5.059
202604280006,   4.385,   4.837,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280012,   4.298,   4.700,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280018,   4.208,   4.578,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280024,   4.117,   4.447,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280030,   4.024,   4.319,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280036,   3.929,   4.208,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280042,   3.832,   4.070,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280048,   3.734,   3.929,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280054,   3.633,   3.808,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280100,   3.532,   3.660,   0.600,  -0.472,   3.660,   0.600,   3.660,   0.700,   3.760
202604280106,   3.428,   3.529,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280112,   3.323,   3.398,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280118,   3.217,   3.270,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280124,   3.109,   3.148,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280130,   3.000,   3.040,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280136,   2.890,   2.938,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280142,   2.779,   2.840,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280148,   2.667,   2.748,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280154,   2.554,   2.660,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280200,   2.441,   2.578,   0.600,  -0.463,   2.578,   0.600,   2.578,   0.700,   2.678
202604280206,   2.327,   2.489,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280212,   2.213,   2.410,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280218,   2.099,   2.318,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280224,   1.985,   2.240,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280230,   1.873,   2.158,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280236,   1.761,   2.079,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280242,   1.651,   1.990,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280248,   1.543,   1.908,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280254,   1.437,   1.830,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280300,   1.335,   1.758,   0.600,  -0.177,   1.758,   0.600,   1.758,   0.700,   1.858
202604280306,   1.236,   1.689,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280312,   1.140,   1.620,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280318,   1.050,   1.557,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280324,   0.965,   1.498,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280330,   0.885,   1.449,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280336,   0.812,   1.410,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280342,   0.745,   1.380,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280348,   0.686,   1.348,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280354,   0.635,   1.308,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280400,   0.593,   1.289,   0.600,   0.096,   1.289,   0.600,   1.289,   0.700,   1.389
202604280406,   0.558,   1.269,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280412,   0.533,   1.249,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280418,   0.517,   1.249,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280424,   0.511,   1.249,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202604280430,   0.514,   1.249,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
